11344	5.073376	0.365024	2
8449	1.770231	1.069550	2
77795	10.975980	1.165055	1
7452	6.669681	1.294389	2
29679	1.728838	0.756877	1
31186	1.563334	0.351224	1
28764	5.935166	0.533063	1
69171	9.842383	0.986517	1
42496	10.029211	0.180106	3
16903	1.099908	1.298506	2
51283	10.662874	0.951332	3
49500	0.497040	0.896582	1
3434	4.296435	0.108389	2
25727	5.605306	1.063707	1
29437	9.253824	0.441748	3
62258	10.593856	0.026379	1
80196	19.570843	0.751063	1
65428	7.670156	1.434506	1
10813	4.170597	1.300978	2
61356	7.285964	0.567364	1
47026	3.948450	0.100876	1
10465	5.792314	1.314217	2
12640	1.898765	0.677582	2
78049	6.256690	1.544750	1
29548	7.003334	1.381089	3
13654	1.773943	0.633713	2
8218	6.410732	0.345200	2
25709	3.528877	1.045377	1
39982	9.091834	0.798036	3
33291	8.998308	1.528949	3
5670	0.588011	0.670002	2
83180	18.550941	1.581843	1
68949	9.123015	0.405081	1
46994	0.000000	1.435445	1
42528	14.167897	0.290874	3
20793	10.650324	0.418347	3
0	2.926227	1.537156	2
38333	11.298080	1.529001	3
65605	13.180999	1.035718	1
6322	1.486500	1.443118	2
46808	7.378265	0.731258	3
7420	8.031014	0.816777	2
12471	1.957859	0.245949	2
37393	5.834829	0.743078	3
15935	5.968285	1.021731	2
29178	9.149477	0.451811	3
7302	3.143722	0.457403	2
25810	6.394064	0.226946	1
51058	9.222807	1.326851	3
71760	9.186677	1.634312	1
19540	8.309195	0.470047	3
10076	1.680542	1.326961	2
74677	13.603333	0.769236	1
42707	10.948783	0.167275	3
14358	0.529846	1.158076	2
0	5.007561	1.650263	2
14071	0.690614	0.363048	2
64470	3.365528	0.348410	1
40534	8.277423	1.380359	3
74413	14.240368	0.231162	1
72484	13.237601	0.179873	1
26325	7.885630	0.624249	3
30787	2.665684	0.694622	1
18503	9.423103	0.463412	3
23500	9.466170	1.302655	3
29998	8.573542	1.184649	3
9894	1.275990	1.636539	2
65569	4.302699	0.691107	1
8827	3.171359	0.441696	2
10190	8.567455	0.697425	2
46809	8.845292	0.454832	3
77381	10.722959	0.567654	1
747	4.279021	0.085021	2
8551	1.514105	1.363463	2
78893	10.995678	1.124452	1
31597	12.852383	1.633248	3
10833	1.517685	1.093886	2
26835	10.962593	0.857764	3
17320	0.435810	0.491095	2
16038	2.874482	1.647535	2
11087	0.000000	0.255899	2
0	3.368360	0.365641	2
59194	2.200470	1.202484	1
15671	4.474208	0.338181	2
69057	14.328588	0.884756	1
16235	1.688573	0.479585	2
67852	7.101242	0.085109	1
9159	4.956878	1.388173	2
50057	2.790674	0.402257	1
9777	5.058610	0.689748	2
0	3.167401	1.120116	2
1601	1.154146	0.527733	2
61982	7.312123	0.061136	1
67248	9.607595	0.429608	1
34003	14.560073	0.357943	3
50089	3.395445	0.142106	1
9272	5.410758	0.266373	2
75616	19.556331	1.406965	1
13053	3.214635	1.217904	2
32326	11.436605	1.178136	3
31847	3.783264	0.251607	1
45974	2.745754	0.879956	1
72345	7.621629	1.314628	1
16841	4.687504	0.306122	2
75970	12.252867	1.605185	1
3826	0.041788	0.784436	2
45365	11.357148	0.329166	3
14383	11.299976	0.367944	3
25055	7.617269	1.413849	3
11724	9.343671	0.348143	2
59775	4.034124	1.024238	1
57843	6.731390	0.936336	1
7124	1.361510	0.584777	2
12994	0.222073	0.530119	2
0	0.000000	0.135900	2
74192	11.916470	0.770625	1
73911	15.340001	1.222820	1
25118	6.310229	0.475985	3
25081	10.474990	0.098792	3
38066	1.815093	1.671669	1
64673	9.319517	1.163398	1
24958	8.579595	1.144393	3
38675	9.433593	1.495404	3
39854	0.225304	0.900078	1
8185	4.800161	1.270723	2
9682	6.645517	0.570715	2
9923	4.562393	1.005787	2
